VPID	SESSID	DATE	RESP	CRESP	ACC	RESPT
20200157	1	7.1.2019	3	3	1	3545
20200157	1	7.1.2019	5	5	1	4470
20200157	1	7.1.2019	2	2	1	3638
20200157	1	7.1.2019	4	4	1	3926
20200157	1	7.1.2019	1	1	1	3238
20200157	1	7.1.2019	4	4	1	3798
20200157	1	7.1.2019	3	3	1	5270
20200157	1	7.1.2019	3	3	1	3390
20200157	1	7.1.2019	4	4	1	2670
20200157	1	7.1.2019	3	3	1	2758
20200157	1	7.1.2019	1	1	1	3334
20200157	1	7.1.2019	1	1	1	2918
20200157	1	7.1.2019	4	4	1	2646
20200157	1	7.1.2019	4	4	1	2974
20200157	1	7.1.2019	1	1	1	2462
20200157	1	7.1.2019	1	1	1	3478
20200157	1	7.1.2019	5	5	1	4902
20200157	1	7.1.2019	2	2	1	4270
20200157	1	7.1.2019	2	2	1	3638
20200157	1	7.1.2019	4	4	1	2982
20200157	1	7.1.2019	4	4	1	3678
20200157	1	7.1.2019	0	3	0	4630
20200157	1	7.1.2019	0	4	0	0
20200157	1	7.1.2019	0	4	0	0
20200157	1	7.1.2019	0	3	0	0
20200157	1	7.1.2019	0	1	0	0
20200157	1	7.1.2019	0	2	0	0
20200157	1	7.1.2019	0	4	0	0
20200157	1	7.1.2019	0	1	0	0
20200157	1	7.1.2019	0	3	0	0
20200157	1	7.1.2019	0	4	0	0
20200157	1	7.1.2019	0	5	0	0
20200157	1	7.1.2019	0	4	0	0
20200157	1	7.1.2019	0	2	0	0
20200157	1	7.1.2019	0	3	0	0
20200157	1	7.1.2019	0	4	0	0
20200157	1	7.1.2019	0	1	0	0
20200157	1	7.1.2019	0	4	0	0
20200157	1	7.1.2019	0	2	0	0
20200157	1	7.1.2019	0	1	0	0
20200157	1	7.1.2019	0	3	0	0
20200157	1	7.1.2019	0	5	0	0
20200157	1	7.1.2019	0	2	0	0
20200157	1	7.1.2019	0	5	0	0
20200157	1	7.1.2019	0	1	0	0
20200157	1	7.1.2019	0	1	0	0
