VPID	SESSID	DATE	RESP	CRESP	ACC	RESPT
20100253	1	9.12.2019	5	5	1	2931
20100253	1	9.12.2019	3	3	1	4765
20100253	1	9.12.2019	2	2	1	3244
20100253	1	9.12.2019	4	4	1	2940
20100253	1	9.12.2019	5	5	1	4301
20100253	1	9.12.2019	2	2	1	3588
20100253	1	9.12.2019	2	2	1	2252
20100253	1	9.12.2019	3	3	1	3013
20100253	1	9.12.2019	4	4	1	3542
20100253	1	9.12.2019	1	1	1	4493
20100253	1	9.12.2019	5	5	1	4556
20100253	1	9.12.2019	4	4	1	3908
20100253	1	9.12.2019	1	1	1	2598
20100253	1	9.12.2019	1	1	1	6116
20100253	1	9.12.2019	3	3	1	2413
20100253	1	9.12.2019	3	3	1	1965
20100253	1	9.12.2019	5	5	1	5037
20100253	1	9.12.2019	3	1	0	7653
20100253	1	9.12.2019	4	4	1	3261
20100253	1	9.12.2019	5	5	1	6100
20100253	1	9.12.2019	4	4	1	7613
20100253	1	9.12.2019	3	3	1	2244
20100253	1	9.12.2019	2	2	1	2549
20100253	1	9.12.2019	1	1	1	2941
20100253	1	9.12.2019	3	3	1	5222
20100253	1	9.12.2019	4	4	1	2891
20100253	1	9.12.2019	2	3	0	7819
20100253	1	9.12.2019	3	2	0	6526
20100253	1	9.12.2019	3	3	1	6157
20100253	1	9.12.2019	4	5	0	5788
20100253	1	9.12.2019	1	1	1	4861
20100253	1	9.12.2019	2	2	1	3637
20100253	1	9.12.2019	5	3	0	6389
20100253	1	9.12.2019	3	4	0	4100
20100253	1	9.12.2019	2	2	1	4853
