VPID	SESSID	DATE	RESP	CRESP	ACC	RESPT
00119	1	10.12.2019	5	5	1	2994
00119	1	10.12.2019	3	3	1	4631
00119	1	10.12.2019	2	2	1	2816
00119	1	10.12.2019	4	4	1	3071
00119	1	10.12.2019	5	5	1	10383
00119	1	10.12.2019	2	2	1	2240
00119	1	10.12.2019	2	2	1	2296
00119	1	10.12.2019	3	3	1	1920
00119	1	10.12.2019	4	4	1	9680
00119	1	10.12.2019	1	1	1	2295
00119	1	10.12.2019	5	5	1	3665
00119	1	10.12.2019	2	4	0	3280
00119	1	10.12.2019	3	1	0	5510
00119	1	10.12.2019	1	1	1	2736
00119	1	10.12.2019	3	3	1	2145
00119	1	10.12.2019	3	3	1	1639
00119	1	10.12.2019	5	5	1	3464
00119	1	10.12.2019	3	1	0	6799
00119	1	10.12.2019	4	4	1	5199
00119	1	10.12.2019	4	5	0	5632
00119	1	10.12.2019	3	4	0	5352
00119	1	10.12.2019	1	3	0	7262
00119	1	10.12.2019	1	2	0	9152
00119	1	10.12.2019	3	1	0	5063
00119	1	10.12.2019	3	3	1	6376
00119	1	10.12.2019	4	4	1	4312
00119	1	10.12.2019	1	3	0	8104
00119	1	10.12.2019	2	2	1	1815
00119	1	10.12.2019	1	3	0	6160
00119	1	10.12.2019	2	5	0	4856
00119	1	10.12.2019	2	1	0	2743
00119	1	10.12.2019	5	2	0	4327
00119	1	10.12.2019	4	3	0	5849
00119	1	10.12.2019	5	4	0	5247
00119	1	10.12.2019	1	2	0	7082
